DBN,School Name,Overall Attendance Rate,Remote Students Online Attendance Rate,Blended Students Overall Attendance Rate,Blended Students In-Person Attendance Rate,Blended Students Online Attendance Rate
01M015,P.S. 015 Roberto Clemente,92.1,92.4,91.9,92.1,90.5
01M019,P.S. 019 Asher Levy,94.6,95.5,93.2,91.9,94.1
01M020,P.S. 020 Anna Silver,92.1,91.9,93.0,93.0,92.9
01M034,P.S. 034 Franklin D. Roosevelt,88.6,87.1,91.2,90.1,93.6
01M063,The STAR Academy - P.S.63,94.7,95.9,93.4,96.2,83.2
01M064,P.S. 064 Robert Simon,89,88.0,90.5,88.8,99.7
01M110,P.S. 110 Florence Nightingale,94,96.7,s,s,s
01M134,P.S. 134 Henrietta Szold,86.6,91.6,82.2,82.6,76.9
01M140,P.S. 140 Nathan Straus,79.4,80.4,78.2,77.7,79.7
01M142,P.S. 142 Amalia Castro,91.1,92.5,89.5,87.4,93.9
01M184,P.S. 184m Shuang Wen,97.4,97.6,97.1,97.2,93.0
01M188,P.S. 188 The Island School,82.9,78.9,86.1,86.0,90.7
01M292,Orchard Collegiate Academy,80.2,79.8,83.1,94.7,76.3
01M315,The East Village Community School,94.8,93.6,95.4,95.4,95.3
01M332,University Neighborhood Middle School,85.7,84.8,86.8,89.3,83.1
01M361,The Children's Workshop School,93.4,90.9,94.8,95.5,87.7
01M363,Neighborhood School,96.8,97.3,96.4,97.5,95.3
01M364,Earth School,93.7,93.5,94.0,93.2,95.5
01M378,School for Global Leaders,94.8,94.5,95.5,97.6,93.9
01M448,University Neighborhood High School,87.6,88.1,87.7,90.7,86.6
01M450,East Side Community School,97.5,97.9,97.3,96.6,98.8
01M458,Forsyth Satellite Academy,53.2,53.2,s,s,s
01M515,Lower East Side Preparatory High School,50.6,56.3,49.7,49.7,NA
01M539,"New Explorations into Science, Technology and Math",94.7,94.8,94.4,95.9,90.6
01M650,Cascades High School,35.3,28.7,48.2,95.1,32.1
01M696,Bard High School Early College,95.1,93.8,96.5,96.6,96.5
01M839,Tompkins Square Middle School,95.9,95.8,96.1,93.2,99.4
02M001,P.S. 001 Alfred E. Smith,92,94.1,88.7,90.5,84.9
02M002,P.S. 002 Meyer London,95.2,96.6,91.4,90.9,93.1
02M003,P.S. 003 Charrette School,96.8,97.5,96.2,95.3,100.0
02M006,P.S. 006 Lillie D. Blake,97,96.1,97.1,97.1,93.9
02M011,P.S. 011 William T. Harris,96.4,96.2,96.5,96.3,99.2
02M033,P.S. 033 Chelsea Prep,89.8,85.7,92.8,92.9,92.0
02M040,P.S. 040 Augustus Saint-Gaudens,96.3,95.5,96.5,96.5,100.0
02M041,P.S. 041 Greenwich Village,96,96.7,95.8,95.4,99.4
02M042,P.S. 042 Benjamin Altman,97.6,98.2,96.4,96.4,96.6
02M047,47 The American Sign Language and English Secondar,82.7,82.3,88.6,97.1,81.7
02M051,P.S. 051 Elias Howe,89.5,88.5,90.4,92.9,88.0
02M059,P.S. 059 Beekman Hill International,96.1,95.6,96.2,96.2,97.5
02M077,P.S. 77 Lower Lab School,98.4,100.0,97.9,97.8,100.0
02M089,P.S. 89,97.4,98.5,97.2,97.1,100.0
02M104,J.H.S. 104 Simon Baruch,96.2,95.8,96.7,97.0,96.4
02M111,P.S. 111 Adolph S. Ochs,90,88.5,92.0,92.4,89.2
02M114,East Side Middle School,98.3,97.2,98.7,96.9,99.9
02M116,P.S. 116 Mary Lindley Murray,93.1,90.8,94.1,93.8,99.6
02M124,P.S. 124 Yung Wing,99.1,99.5,98.2,98.4,46.2
02M126,P.S. 126 Jacob August Riis,96.8,97.4,95.7,94.6,97.8
02M130,P.S. 130 Hernando De Soto,99.4,99.4,99.3,99.8,99.0
02M131,M.S. 131,93.4,93.6,92.9,92.2,96.2
02M135,The Urban Assembly School for Emergency Management,82.3,81.3,88.0,91.8,86.4
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,75.9,75.2,80.7,80.8,0.0
02M150,P.S. 150,95.4,96.7,95.0,94.9,97.1
02M151,Yorkville Community School,90.6,85.8,92.5,93.4,83.9
02M158,P.S. 158 Bayard Taylor,95,94.1,95.2,95.1,98.4
02M167,J.H.S. 167 Robert F. Wagner,90.5,88.6,92.2,92.2,92.2
02M177,Yorkville East Middle School,94.3,92.0,95.8,97.1,94.9
02M183,P.S. 183 Robert L. Stevenson,95.4,96.1,95.2,95.0,99.8
02M198,P.S. 198 Isador E. Ida Straus,97.2,97.4,97.1,97.1,96.9
02M212,P.S. 212 Midtown West,96,95.6,96.4,96.1,97.0
02M217,P.S./I.S. 217 Roosevelt Island,95.6,95.1,95.8,95.9,95.4
02M225,Ella Baker School,98.7,99.5,98.3,99.7,94.1
02M234,P.S. 234 Independence School,95.8,97.1,95.5,95.5,94.7
02M255,M.S. 255 Salk School of Science,97.8,98.1,97.7,97.5,97.8
02M260,The Clinton School,93.3,89.3,96.7,99.1,95.6
02M267,"East Side Elementary School, PS 267",97.5,96.7,97.7,97.8,97.6
02M276,Battery Park City School,97.1,98.8,96.6,96.7,96.1
02M280,Manhattan Early College School for Advertising,79.8,79.0,90.2,100.0,88.0
02M281,The River School,94.8,95.1,94.7,93.9,99.4
02M282,Urban Assembly Maker Academy,74.5,74.0,81.9,100.0,65.6
02M288,Food and Finance High School,79.4,79.7,84.8,85.5,84.5
02M289,I.S. 289,97.9,97.8,98.0,97.9,98.0
02M290,P.S. 290 Manhattan New School,97,96.6,97.1,97.2,83.3
02M294,Essex Street Academy,79.9,77.5,86.2,89.1,84.4
02M296,High School of Hospitality Management,68.8,68.8,76.3,75.3,76.6
02M297,M.S. 297,93.6,91.9,95.6,97.0,94.5
02M298,Pace High School,71,69.9,75.0,75.0,66.7
02M300,"Urban Assembly School of Design and Construction,",90.1,90.9,90.1,93.3,82.8
02M303,"Facing History School, The",80.3,79.0,82.8,84.5,73.6
02M305,"Urban Assembly Academy of Government and Law, The",90.8,89.7,95.0,97.3,93.8
02M308,Lower Manhattan Arts Academy,72.6,72.8,78.1,73.2,87.7
02M312,New York City Lab Middle School for Collaborative,98.5,98.8,98.1,97.5,98.5
02M313,"James Baldwin School, The: A School for Expedition",60.7,60.7,s,s,s
02M316,"Urban Assembly School of Business for Young Women,",66.4,66.9,65.3,69.0,61.6
02M340,Sixth Avenue Elementary School,95.9,97.3,95.4,95.7,93.2
02M343,The Peck Slip School,96.2,98.4,95.4,95.4,100.0
02M347,The 47 American Sign Language & English Lower Scho,89.1,85.8,90.6,91.8,81.0
02M374,Gramercy Arts High School,96,96.0,96.4,94.8,97.2
02M376,NYC iSchool,92.8,92.9,93.3,96.7,92.0
02M391,District 2 Pre-K Center,93.2,94.6,92.8,92.3,97.4
02M392,Manhattan Business Academy,85.9,86.3,82.7,72.3,88.8
02M393,Business Of Sports School,75,76.8,71.2,59.9,84.9
02M394,Emma Lazarus High School,84.5,86.0,83.5,85.6,77.5
02M397,Spruce Street School,95.1,95.8,94.7,95.3,92.4
02M399,The High School For Language And Diplomacy,72.7,70.2,83.2,83.5,81.8
02M400,High School for Environmental Studies,89.9,89.9,90.0,100.0,82.1
02M407,Institute for Collaborative Education,93.4,92.5,94.3,100.0,91.5
02M408,Professional Performing Arts High School,95.7,95.7,95.7,98.2,94.6
02M411,Baruch College Campus High School,92.3,94.4,90.8,77.5,98.8
02M412,N.Y.C. Lab School for Collaborative Studies,94,93.4,95.1,89.0,96.5
02M413,School of the Future High School,94.1,93.9,94.4,98.1,91.3
02M414,N.Y.C. Museum School,94.5,94.9,93.3,100.0,91.9
02M416,Eleanor Roosevelt High School,97.4,98.0,98.5,95.9,99.5
02M418,Millennium High School,97.3,97.3,s,s,s
02M419,Landmark High School,68,66.0,73.4,76.6,71.2
02M420,High School for Health Professions and Human Servi,74.7,74.7,s,s,s
02M422,Quest to Learn,84.5,83.0,89.0,89.3,75.8
02M425,Leadership and Public Service High School,91.4,93.5,87.0,68.3,97.6
02M427,Manhattan Academy For Arts & Language,83.4,88.8,91.0,86.7,95.3
02M432,Murray Hill Academy,80.7,84.6,66.6,66.9,16.7
02M437,Hudson High School of Learning Technologies,83.1,83.5,82.3,85.6,78.1
02M438,International High School at Union Square,76.5,78.0,s,s,s
02M439,Manhattan Village Academy,97.1,97.8,96.9,95.6,99.4
02M442,"Ballet Tech, NYC Public School for Dance",96.3,94.9,97.0,96.9,98.6
02M449,Vanguard High School,100,100.0,s,s,s
02M459,Manhattan International High School,75,71.4,80.1,86.1,75.9
02M475,Stuyvesant High School,97.6,97.6,s,s,s
02M489,High School of Economics and Finance,84.2,83.2,90.1,87.6,92.4
02M500,Unity Center for Urban Technologies,87.7,87.0,94.5,96.2,94.2
02M507,Urban Assembly Gateway School for Technology,94.3,95.0,94.1,94.5,91.1
02M519,Talent Unlimited High School,74.6,74.7,74.6,88.6,65.3
02M520,Murry Bergtraum High School for Business Careers,91.3,90.7,95.5,100.0,93.5
02M527,P.S. 527 - East Side School for Social Action,97.3,96.5,97.6,97.6,100.0
02M529,Jacqueline Kennedy Onassis High School,76.5,68.9,93.5,92.7,93.8
02M531,Repertory Company High School for Theatre Arts,84.5,82.7,87.2,86.5,87.4
02M533,Union Square Academy for Health Sciences,83.6,85.5,70.8,69.9,84.1
02M534,Harvest Collegiate High School,60,58.0,68.6,76.3,67.3
02M542,Manhattan Bridges High School,77.2,77.9,75.7,72.3,84.0
02M543,New Design High School,79.3,78.4,84.5,100.0,79.1
02M544,Independence High School,25.9,28.7,43.2,29.4,88.4
02M545,High School for Dual Language and Asian Studies,97.1,97.1,s,s,s
02M546,Academy for Software Engineering,76.9,76.1,82.1,90.5,65.7
02M550,Liberty High School Academy for Newcomers,66.6,70.3,64.1,80.1,55.0
02M551,Urban Assembly New York Harbor School,77.2,72.6,83.1,100.0,75.7
02M560,High School M560 - City As School,36.3,32.6,50.0,57.2,29.4
02M565,Urban Academy Laboratory High School,82.1,78.9,84.0,88.6,76.7
02M570,Satellite Academy High School,34,30.3,52.0,100.0,47.5
02M575,Manhattan Comprehensive Night and Day High School,49.5,48.5,90.1,85.5,94.0
02M580,Richard R. Green High School of Teaching,73.1,72.5,82.8,81.1,83.9
02M586,Harvey Milk High School,58.8,62.4,65.6,57.4,71.8
02M600,The High School of Fashion Industries,72.6,72.1,74.7,89.1,54.1
02M605,Humanities Preparatory Academy,91.4,92.7,97.9,96.5,99.8
02M615,Chelsea Career and Technical Education High School,75.4,73.9,91.7,91.7,NA
