DBN,School Name,Overall Attendance Rate,Remote Students Online Attendance Rate,Blended Students Overall Attendance Rate,Blended Students In-Person Attendance Rate,Blended Students Online Attendance Rate
01M015,P.S. 015 Roberto Clemente,86.4,87.8,85.0,92.1,77.3
01M019,P.S. 019 Asher Levy,95.1,96.6,s,s,s
01M020,P.S. 020 Anna Silver,90.8,90.1,93.2,97.4,90.1
01M034,P.S. 034 Franklin D. Roosevelt,86.7,88.0,84.8,83.3,85.1
01M063,The STAR Academy - P.S.63,93,93.6,92.0,96.8,89.0
01M064,P.S. 064 Robert Simon,88.8,89.6,87.7,84.0,95.6
01M110,P.S. 110 Florence Nightingale,93.5,93.6,93.3,93.5,93.0
01M134,P.S. 134 Henrietta Szold,83.7,87.4,77.0,79.6,72.3
01M140,P.S. 140 Nathan Straus,78.8,79.6,77.4,82.7,76.3
01M142,P.S. 142 Amalia Castro,89.9,92.0,87.2,87.5,86.5
01M184,P.S. 184m Shuang Wen,98,97.9,98.3,98.3,98.2
01M188,P.S. 188 The Island School,82.8,85.0,80.4,0.0,80.5
01M292,Orchard Collegiate Academy,81.1,81.3,80.5,NA,80.5
01M315,The East Village Community School,97.4,97.7,97.2,97.5,97.1
01M332,University Neighborhood Middle School,85.3,84.7,86.5,NA,86.5
01M361,The Children's Workshop School,93.3,93.3,93.5,97.9,92.5
01M363,Neighborhood School,96.2,96.0,96.8,96.4,97.0
01M364,Earth School,92.5,92.5,92.7,91.6,93.5
01M378,School for Global Leaders,96,95.7,97.1,NA,97.1
01M448,University Neighborhood High School,87.7,89.1,80.8,NA,80.8
01M450,East Side Community School,97.1,97.1,s,s,s
01M458,Forsyth Satellite Academy,44.1,42.4,49.8,NA,49.8
01M515,Lower East Side Preparatory High School,45.9,46.5,42.7,NA,42.7
01M539,"New Explorations into Science, Technology and Math",97.6,97.4,98.5,100.0,98.3
01M650,Cascades High School,52.7,51.2,58.2,NA,58.2
01M696,Bard High School Early College,95.1,94.9,95.3,NA,95.3
01M839,Tompkins Square Middle School,95.9,96.0,95.5,NA,95.5
02M001,P.S. 001 Alfred E. Smith,92.5,95.7,85.4,89.0,83.3
02M002,P.S. 002 Meyer London,93.6,95.6,87.0,87.2,86.9
02M003,P.S. 003 Charrette School,95.8,98.0,93.1,87.6,98.6
02M006,P.S. 006 Lillie D. Blake,98.3,98.2,98.3,97.1,98.8
02M011,P.S. 011 William T. Harris,96.8,96.6,97.1,97.4,97.0
02M033,P.S. 033 Chelsea Prep,91.6,90.0,93.1,91.7,94.4
02M040,P.S. 040 Augustus Saint-Gaudens,97.9,96.8,98.4,98.5,98.4
02M041,P.S. 041 Greenwich Village,98.4,97.8,98.7,99.0,98.6
02M042,P.S. 042 Benjamin Altman,97.7,98.6,95.3,91.5,97.5
02M047,47 The American Sign Language and English Secondar,73.6,73.5,74.5,NA,74.5
02M051,P.S. 051 Elias Howe,88.4,87.1,90.5,91.1,90.2
02M059,P.S. 059 Beekman Hill International,97.1,96.7,97.3,97.5,97.2
02M077,P.S. 77 Lower Lab School,99.2,99.1,99.2,0.0,99.6
02M089,P.S. 89,94.4,96.1,94.0,92.6,96.0
02M104,J.H.S. 104 Simon Baruch,96.6,95.9,97.6,NA,97.6
02M111,P.S. 111 Adolph S. Ochs,87.4,85.2,90.4,85.2,92.9
02M114,East Side Middle School,98.7,98.1,99.0,NA,99.0
02M116,P.S. 116 Mary Lindley Murray,93.8,92.5,94.7,93.8,95.1
02M124,P.S. 124 Yung Wing,98.9,99.3,97.6,95.9,98.8
02M126,P.S. 126 Jacob August Riis,97,97.6,95.0,99.2,93.7
02M130,P.S. 130 Hernando De Soto,99.3,99.3,99.2,98.9,99.4
02M131,M.S. 131,94.1,93.9,95.2,NA,95.2
02M135,The Urban Assembly School for Emergency Management,89.1,88.3,93.5,NA,93.5
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,77.8,77.7,78.1,NA,78.1
02M150,P.S. 150,95.3,96.8,95.1,94.7,95.4
02M151,Yorkville Community School,92.5,89.5,94.7,94.4,94.8
02M158,P.S. 158 Bayard Taylor,96,94.3,96.5,94.5,98.5
02M167,J.H.S. 167 Robert F. Wagner,93,91.2,94.6,NA,94.6
02M177,Yorkville East Middle School,97.3,96.8,97.7,NA,97.7
02M183,P.S. 183 Robert L. Stevenson,99.1,98.8,99.2,99.7,99.0
02M198,P.S. 198 Isador E. Ida Straus,97,95.9,97.5,98.5,97.3
02M212,P.S. 212 Midtown West,96,96.2,95.8,97.6,95.4
02M217,P.S./I.S. 217 Roosevelt Island,96.3,95.0,97.0,95.6,97.4
02M225,Ella Baker School,96.2,96.1,96.4,99.6,95.7
02M234,P.S. 234 Independence School,95.1,94.7,95.3,93.2,97.1
02M255,M.S. 255 Salk School of Science,98.7,98.5,98.8,NA,98.8
02M260,The Clinton School,94.6,93.8,96.6,NA,96.6
02M267,"East Side Elementary School, PS 267",98.2,96.2,98.9,99.3,98.7
02M276,Battery Park City School,98,98.3,97.8,97.7,97.8
02M280,Manhattan Early College School for Advertising,74.9,75.0,s,s,s
02M281,The River School,95.8,94.2,96.6,97.0,96.4
02M282,Urban Assembly Maker Academy,83.9,84.1,78.9,NA,78.9
02M288,Food and Finance High School,83.1,82.1,86.6,NA,86.6
02M289,I.S. 289,97.2,97.0,97.7,NA,97.7
02M290,P.S. 290 Manhattan New School,97.1,96.7,97.3,97.4,97.2
02M294,Essex Street Academy,88.3,87.6,89.9,NA,89.9
02M296,High School of Hospitality Management,69.9,69.0,80.6,NA,80.6
02M297,M.S. 297,94.6,93.5,96.3,NA,96.3
02M298,Pace High School,77.2,75.9,85.7,NA,85.7
02M300,"Urban Assembly School of Design and Construction,",86,86.0,86.0,NA,86.0
02M303,"Facing History School, The",80.1,80.9,77.9,NA,77.9
02M305,"Urban Assembly Academy of Government and Law, The",90.2,89.8,91.6,NA,91.6
02M308,Lower Manhattan Arts Academy,74,73.7,76.0,NA,76.0
02M312,New York City Lab Middle School for Collaborative,98.9,98.5,99.5,NA,99.5
02M313,"James Baldwin School, The: A School for Expedition",86.4,86.1,87.3,NA,87.3
02M316,"Urban Assembly School of Business for Young Women,",73.6,72.1,80.8,NA,80.8
02M340,Sixth Avenue Elementary School,96.1,95.8,96.3,95.9,96.4
02M343,The Peck Slip School,97.3,98.2,97.0,94.7,98.6
02M347,The 47 American Sign Language & English Lower Scho,90.6,89.7,91.2,97.0,89.0
02M374,Gramercy Arts High School,92.8,93.1,90.2,NA,90.2
02M376,NYC iSchool,93.2,93.7,80.4,NA,80.4
02M391,District 2 Pre-K Center,91.3,94.3,90.1,87.9,96.3
02M392,Manhattan Business Academy,85.2,85.1,87.2,NA,87.2
02M393,Business Of Sports School,79.4,79.4,s,s,s
02M394,Emma Lazarus High School,80.3,83.4,75.3,NA,75.3
02M397,Spruce Street School,95.8,95.3,96.2,96.2,96.1
02M399,The High School For Language And Diplomacy,68.7,70.2,62.0,NA,62.0
02M400,High School for Environmental Studies,90.2,90.2,91.5,NA,91.5
02M407,Institute for Collaborative Education,94.6,93.9,95.9,NA,95.9
02M408,Professional Performing Arts High School,95.4,95.0,95.9,NA,95.9
02M411,Baruch College Campus High School,98.5,98.4,99.3,NA,99.3
02M412,N.Y.C. Lab School for Collaborative Studies,96.4,96.3,96.7,NA,96.7
02M413,School of the Future High School,92.5,92.2,92.8,NA,92.8
02M414,N.Y.C. Museum School,94.4,94.4,s,s,s
02M416,Eleanor Roosevelt High School,93.6,93.7,93.5,NA,93.5
02M418,Millennium High School,98,98.0,s,s,s
02M419,Landmark High School,59.1,59.0,59.2,NA,59.2
02M420,High School for Health Professions and Human Servi,80.4,80.4,s,s,s
02M422,Quest to Learn,88.8,90.7,84.1,NA,84.1
02M425,Leadership and Public Service High School,95.5,94.8,98.1,NA,98.1
02M427,Manhattan Academy For Arts & Language,83.4,85.8,78.9,NA,78.9
02M432,Murray Hill Academy,82,80.3,89.2,NA,89.2
02M437,Hudson High School of Learning Technologies,84.8,84.5,86.0,NA,86.0
02M438,International High School at Union Square,79.4,78.5,81.4,NA,81.4
02M439,Manhattan Village Academy,95.1,95.1,93.7,NA,93.7
02M442,"Ballet Tech, NYC Public School for Dance",98.4,98.6,98.3,99.0,98.1
02M449,Vanguard High School,100,100.0,100.0,NA,100.0
02M459,Manhattan International High School,77.2,74.9,80.2,NA,80.2
02M475,Stuyvesant High School,97.9,97.9,s,s,s
02M489,High School of Economics and Finance,95.1,95.1,95.1,NA,95.1
02M500,Unity Center for Urban Technologies,94.2,93.7,97.4,NA,97.4
02M507,Urban Assembly Gateway School for Technology,93.6,93.1,95.7,NA,95.7
02M519,Talent Unlimited High School,72.4,72.3,72.4,NA,72.4
02M520,Murry Bergtraum High School for Business Careers,91.5,91.5,s,s,s
02M527,P.S. 527 - East Side School for Social Action,98.8,99.0,98.7,99.1,98.4
02M529,Jacqueline Kennedy Onassis High School,72.2,71.4,74.0,NA,74.0
02M531,Repertory Company High School for Theatre Arts,89.8,89.6,89.9,NA,89.9
02M533,Union Square Academy for Health Sciences,86.6,86.1,92.6,NA,92.6
02M534,Harvest Collegiate High School,66.8,66.2,67.4,NA,67.4
02M542,Manhattan Bridges High School,79,78.8,80.7,NA,80.7
02M543,New Design High School,83.9,84.0,83.3,NA,83.3
02M544,Independence High School,29.9,28.2,37.2,NA,37.2
02M545,High School for Dual Language and Asian Studies,96.8,96.8,s,s,s
02M546,Academy for Software Engineering,81.2,81.2,81.1,NA,81.1
02M550,Liberty High School Academy for Newcomers,63.2,61.3,65.0,NA,65.0
02M551,Urban Assembly New York Harbor School,81.9,79.5,85.1,NA,85.1
02M560,High School M560 - City As School,42.7,38.6,54.2,NA,54.2
02M565,Urban Academy Laboratory High School,88,83.3,92.4,NA,92.4
02M570,Satellite Academy High School,38.2,36.9,54.5,NA,54.5
02M575,Manhattan Comprehensive Night and Day High School,51.8,48.7,79.1,NA,79.1
02M580,Richard R. Green High School of Teaching,83.2,80.8,89.4,NA,89.4
02M586,Harvey Milk High School,59.1,56.6,69.4,NA,69.4
02M600,The High School of Fashion Industries,77.2,77.8,75.4,NA,75.4
02M605,Humanities Preparatory Academy,88.5,86.3,93.3,NA,93.3
02M615,Chelsea Career and Technical Education High School,78.9,78.1,86.4,NA,86.4
02M630,Art and Design High School,94.7,94.7,s,s,s
02M655,Life Sciences Secondary School,65.4,63.7,70.4,NA,70.4
02M896,Lower Manhattan Community Middle School,98.4,98.1,99.3,NA,99.3
02M933,City Knoll Middle School,80.8,80.2,84.0,NA,84.0
03M009,P.S. 009 Sarah Anderson,97.2,97.1,97.3,97.4,97.2
03M054,J.H.S. 054 Booker T. Washington,91.4,88.7,92.4,NA,92.4
03M075,P.S. 075 Emily Dickinson,90.7,90.8,90.8,79.8,92.9
03M076,P.S. 076 A. Philip Randolph,82.2,80.9,84.7,86.8,83.6
03M084,P.S. 084 Lillian Weber,93.9,94.0,93.9,90.4,95.8
03M087,P.S. 087 William Sherman,99.9,100.0,100.0,100.0,100.0
03M145,"P.S. 145, The Bloomingdale School",85.3,82.5,88.3,65.7,91.2
03M149,P.S. 149 Sojourner Truth,85,85.5,84.5,76.3,86.0
03M163,P.S. 163 Alfred E. Smith,94.2,94.2,94.1,91.5,95.4
03M165,P.S. 165 Robert E. Simon,97.4,97.4,97.8,85.9,98.9
03M166,P.S. 166 The Richard Rodgers School of The Arts an,97.6,96.2,98.2,98.5,98.0
03M180,P.S. 180 Hugo Newman,82.1,84.3,79.4,85.4,77.7
03M185,The Locke School of Arts and Engineering,89,89.2,88.9,88.1,89.3
03M191,The Riverside School for Makers and Artists,85.5,86.4,84.6,84.0,84.8
03M199,P.S. 199 Jessie Isador Straus,97.3,97.2,97.4,97.9,97.2
03M241,STEM Institute of Manhattan,87.6,88.5,86.7,84.1,97.3
03M242,P.S. 242 - The Young Diplomats Magnet Academy,77.8,75.3,81.4,92.8,78.5
03M243,M.S. 243 Center School,99.6,99.7,99.5,NA,99.5
03M245,M.S. M245 The Computer School,93.9,93.4,96.2,NA,96.2
03M247,M.S. M247 Dual Language Middle School,94.3,94.5,91.9,NA,91.9
03M250,M.S. 250 West Side Collaborative Middle School,86.5,85.3,91.7,NA,91.7
03M256,Lafayette Academy,84.7,84.9,84.6,NA,84.6
03M258,Community Action School - MS 258,94.3,94.3,s,s,s
03M291,West End Secondary School,96,95.1,97.5,NA,97.5
03M299,The Maxine Greene HS for Imaginative Inquiry,70.3,68.0,93.0,NA,93.0
03M307,"Urban Assembly School for Media Studies, The",86.3,86.2,86.6,NA,86.6
03M333,P.S. 333 Manhattan School for Children,96.1,94.0,97.6,97.2,97.7
03M334,The Anderson School,98.8,98.3,99.1,100.0,98.8
03M402,The Urban Assembly School for Green Careers,75,72.9,81.8,NA,81.8
03M403,The Global Learning Collaborative,66.2,65.4,72.5,NA,72.5
03M404,Innovation Diploma Plus,31.3,30.4,32.9,NA,32.9
03M415,Wadleigh Secondary School for the Performing & Vis,95.3,95.3,95.3,NA,95.3
03M417,Frank McCourt High School,90.1,88.2,93.4,NA,93.4
03M421,West Prep Academy,86.7,90.4,80.4,NA,80.4
03M452,P.S. 452,94.3,95.1,94.0,94.0,93.9
03M479,Beacon High School,93.8,93.7,94.4,NA,94.4
03M485,Fiorello H. LaGuardia High School of Music & Art a,88.7,87.8,89.7,NA,89.7
03M492,"High School for Law, Advocacy and Community Justic",72.4,73.3,66.9,NA,66.9
03M494,High School of Arts and Technology,84.8,84.9,82.8,NA,82.8
03M505,Edward A. Reynolds West Side High School,27.5,25.7,32.6,NA,32.6
03M541,Manhattan / Hunter Science High School,98.7,98.7,s,s,s
03M859,Special Music School,98,97.4,99.1,96.6,99.3
03M860,Frederick Douglass Academy II Secondary School,88,86.3,92.1,NA,92.1
03M862,Mott Hall II,92.6,93.3,91.2,NA,91.2
04M007,P.S. 007 Samuel Stern,76.5,80.4,71.8,63.1,77.5
04M012,Tag Young Scholars,99.6,99.7,99.4,98.7,99.5
04M037,River East Elementary,84.2,84.0,85.8,86.0,83.6
04M038,P.S. 38 Roberto Clemente,81.1,81.3,80.6,80.6,80.6
04M057,James Weldon Johnson,91.3,91.9,89.6,89.8,89.6
04M072,The Lexington Academy,81.8,78.9,87.3,90.0,86.7
04M083,P.S. 083 Luis Munoz Rivera,92.8,95.0,89.4,89.9,88.1
04M096,P.S. 096 Joseph Lanzetta,85.3,85.6,85.4,86.9,83.6
04M102,P.S. 102 Jacques Cartier,83.5,85.1,81.2,82.1,80.6
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,82.4,82.4,82.3,82.5,82.3
04M112,P.S. 112 Jose Celso Barbosa,82.4,85.6,78.9,82.6,74.4
04M146,P.S. 146 Ann M. Short,93.9,93.5,94.3,95.8,93.1
04M155,P.S. 155 William Paca,85.5,84.2,87.0,89.4,79.2
04M171,P.S. 171 Patrick Henry,94.2,94.2,94.2,92.9,95.8
04M182,The Bilingual Bicultural School,94.7,94.4,95.8,96.6,94.2
04M206,P.S. 206 Jose Celso Barbosa,90.2,90.3,90.4,94.2,89.7
04M224,M.S. 224 Manhattan East School for Arts & Academic,96,95.6,97.2,NA,97.2
