DBN,School Name,Overall Attendance Rate,Remote Instruction Attendance Rate*
01M015,P.S. 015 Roberto Clemente,89.5,NA
01M019,P.S. 019 Asher Levy,93.3,NA
01M020,P.S. 020 Anna Silver,87.3,NA
01M034,P.S. 034 Franklin D. Roosevelt,84.6,54.4
01M063,The STAR Academy - P.S.63,89.6,NA
01M064,P.S. 064 Robert Simon,87.8,s
01M110,P.S. 110 Florence Nightingale,92.6,NA
01M134,P.S. 134 Henrietta Szold,89.1,NA
01M140,P.S. 140 Nathan Straus,85.3,NA
01M142,P.S. 142 Amalia Castro,86.7,NA
01M184,P.S. 184m Shuang Wen,97.3,s
01M188,P.S. 188 The Island School,85.2,NA
01M292,Orchard Collegiate Academy,81.6,NA
01M315,The East Village Community School,95.4,NA
01M332,University Neighborhood Middle School,88.6,100.0
01M361,The Children's Workshop School,94.1,NA
01M363,Neighborhood School,95.1,NA
01M364,Earth School,89.7,NA
01M378,School for Global Leaders,90.7,s
01M448,University Neighborhood High School,91.5,NA
01M450,East Side Community School,93.0,s
01M458,Forsyth Satellite Academy,52.6,NA
01M515,Lower East Side Preparatory High School,61.7,NA
01M539,"New Explorations into Science, Technology and Math",96.2,NA
01M650,Cascades High School,45.8,s
01M696,Bard High School Early College,94.8,NA
01M839,Tompkins Square Middle School,94.5,s
02M001,P.S. 001 Alfred E. Smith,90.0,NA
02M002,P.S. 002 Meyer London,94.5,NA
02M003,P.S. 003 Charrette School,94.7,NA
02M006,P.S. 006 Lillie D. Blake,95.9,s
02M011,P.S. 011 William T. Harris,94.8,NA
02M033,P.S. 033 Chelsea Prep,92.1,NA
02M040,P.S. 040 Augustus Saint-Gaudens,89.7,NA
02M041,P.S. 041 Greenwich Village,96.4,NA
02M042,P.S. 042 Benjamin Altman,95.1,NA
02M047,47 The American Sign Language and English Secondar,84.0,100.0
02M051,P.S. 051 Elias Howe,88.5,NA
02M059,P.S. 059 Beekman Hill International,84.4,NA
02M077,P.S. 77 Lower Lab School,98.2,100.0
02M089,P.S. 89,97.2,s
02M104,J.H.S. 104 Simon Baruch,96.8,92.9
